model,run,tag,step,value
LSTM,lstm-v2,train/loss,11400,3.587402820587158
LSTM,lstm-v2,train/loss,11500,3.7586259841918945
LSTM,lstm-v2,train/loss,11600,3.384697437286377
LSTM,lstm-v2,train/loss,11700,3.603733539581299
LSTM,lstm-v2,train/loss,11800,3.41304087638855
LSTM,lstm-v2,train/loss,11900,3.5187954902648926
LSTM,lstm-v2,train/loss,12000,3.4464786052703857
LSTM,lstm-v2,train/loss,12100,3.5649895668029785
LSTM,lstm-v2,train/loss,12200,3.5446348190307617
LSTM,lstm-v2,train/loss,12300,3.4789998531341553
LSTM,lstm-v2,train/loss,12400,3.619767904281616
LSTM,lstm-v2,train/loss,12500,3.3525900840759277
LSTM,lstm-v2,train/loss,12600,3.5680911540985107
LSTM,lstm-v2,train/loss,12700,3.3781142234802246
LSTM,lstm-v2,train/loss,12800,3.572673797607422
LSTM,lstm-v2,train/loss,12900,3.419039249420166
LSTM,lstm-v2,train/loss,13000,3.375082492828369
LSTM,lstm-v2,train/loss,13100,3.341353416442871
LSTM,lstm-v2,train/loss,13200,3.491849422454834
LSTM,lstm-v2,train/loss,13300,3.33486270904541
LSTM,lstm-v2,train/loss,13400,3.6706655025482178
LSTM,lstm-v2,train/loss,13500,3.3173484802246094
LSTM,lstm-v2,train/loss,13600,3.6277108192443848
LSTM,lstm-v2,train/loss,13700,3.3399758338928223
LSTM,lstm-v2,train/loss,13800,3.475813388824463
LSTM,lstm-v2,train/loss,13900,3.240499496459961
LSTM,lstm-v2,train/loss,14000,3.3725666999816895
LSTM,lstm-v2,train/loss,14100,3.344489097595215
LSTM,lstm-v2,train/loss,14200,3.4560933113098145
LSTM,lstm-v2,train/loss,14300,3.6812002658843994
LSTM,lstm-v2,train/loss,14400,3.284428596496582
LSTM,lstm-v2,train/loss,14500,3.3249833583831787
LSTM,lstm-v2,train/loss,14600,3.534733295440674
LSTM,lstm-v2,train/loss,14700,3.425410747528076
LSTM,lstm-v2,train/loss,14800,3.436001777648926
LSTM,lstm-v2,train/loss,14900,3.321826219558716
LSTM,lstm-v2,train/loss,15000,3.413074493408203
LSTM,lstm-v2,train/loss,15100,3.59822416305542
