run,tag,step,value,wall_time,event_file
lstm-v1,evaluation/loss,45,2.8102588653564453,1776690070.2315328,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,46,2.8034379482269287,1776691090.962371,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,47,2.8020687103271484,1776692100.386086,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,48,2.8017141819000244,1776693117.3399324,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,49,2.7998244762420654,1776694117.4477677,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,50,2.7940471172332764,1776695132.9496925,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,51,2.789940118789673,1776696161.2780242,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,52,2.7912757396698,1776697171.7922354,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,53,2.7879436016082764,1776698191.6201572,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,54,2.786689281463623,1776699216.129962,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,55,2.7861785888671875,1776700230.5933955,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,56,2.7874581813812256,1776701246.1710126,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,57,2.7858998775482178,1776702274.9498963,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v2,evaluation/loss,1,5.2018303871154785,1776795065.6808438,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,2,4.432119846343994,1776796069.2793767,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,3,4.046422958374023,1776797057.0854416,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,4,3.8115246295928955,1776798067.3702614,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,5,3.6285324096679688,1776799061.7043538,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,6,3.497161865234375,1776800047.4825418,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,7,3.400118589401245,1776801011.7386658,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,8,3.339634418487549,1776802016.0453322,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,9,3.2770895957946777,1776803009.5427043,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,10,3.236690044403076,1776804015.5974925,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,11,3.185298442840576,1776805002.9162989,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,12,3.157244920730591,1776806014.6565294,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,13,3.114973306655884,1776807007.5576386,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,14,3.0812652111053467,1776807997.4216006,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,15,3.053096055984497,1776808984.2483282,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,16,3.0344629287719727,1776809951.322097,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,17,3.0150160789489746,1776810950.0812082,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,18,2.9937353134155273,1776811940.6304557,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,19,2.9700980186462402,1776812929.0983074,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,20,2.946631669998169,1776813919.3740625,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,21,2.927647829055786,1776814909.9096415,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,22,2.910527467727661,1776815897.772811,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,23,2.895242691040039,1776816898.7260454,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,24,2.8795368671417236,1776817900.8502705,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,25,2.868701219558716,1776818893.7571225,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,26,2.8571605682373047,1776819895.1094332,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,27,2.8435544967651367,1776820874.4261568,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,28,2.829392671585083,1776821876.9231212,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,29,2.8180668354034424,1776822862.3482437,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,30,2.808608055114746,1776823869.9659975,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,31,2.8012938499450684,1776824859.1316292,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,32,2.7961196899414062,1776825850.4039314,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,33,2.7903809547424316,1776826840.4804368,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,34,2.787749767303467,1776827844.0778594,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,35,2.783538818359375,1776828826.323393,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,36,2.7788095474243164,1776829827.2419233,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,37,2.776703357696533,1776830824.584199,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,38,2.7751853466033936,1776831810.5501168,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,39,2.7743167877197266,1776832804.414886,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/loss,40,2.7741880416870117,1776833791.0226388,events.out.tfevents.1776794059.41d7b82d1494.35124.1
mamba-decoder-v1,evaluation/loss,1,5.620471954345703,1777336308.0277297,events.out.tfevents.1777336048.432cbf08976a.26362.1
mamba-decoder-v1,evaluation/loss,2,5.192735195159912,1777336559.241891,events.out.tfevents.1777336048.432cbf08976a.26362.1
mamba-decoder-v1,evaluation/loss,3,4.8622894287109375,1777336805.672797,events.out.tfevents.1777336048.432cbf08976a.26362.1
mamba-decoder-v1,evaluation/loss,4,4.610355377197266,1777337052.180144,events.out.tfevents.1777336048.432cbf08976a.26362.1
mamba-decoder-v1,evaluation/loss,5,4.391606330871582,1777337292.3830605,events.out.tfevents.1777336048.432cbf08976a.26362.1
mamba-decoder-v1,evaluation/loss,6,4.2314252853393555,1777337535.554699,events.out.tfevents.1777336048.432cbf08976a.26362.1
mamba-decoder-v1,evaluation/loss,7,4.0872979164123535,1777337784.9373722,events.out.tfevents.1777336048.432cbf08976a.26362.1
mamba-decoder-v1,evaluation/loss,8,3.9966213703155518,1777338027.622835,events.out.tfevents.1777336048.432cbf08976a.26362.1
